time,gxR,gyR
5705900,919.5,559.5999755859375
5706000,927.29998779296875,572.4000244140625
5706100,932.0999755859375,579.9000244140625
5706200,926.5999755859375,573.70001220703125
5706300,924.4000244140625,538.79998779296875
5706400,923.29998779296875,547.4000244140625
5706500,936.5,544.70001220703125
5706600,946,549.5999755859375
5706700,936.5,557.70001220703125
5706800,924.4000244140625,531.0999755859375
5706900,923.9000244140625,535.5
5707000,921.0999755859375,532.70001220703125
5707100,920,532
5707200,913,554.20001220703125
5707300,918.0999755859375,558.20001220703125
5707400,921.70001220703125,544.79998779296875
5707500,921.70001220703125,545
5707600,925.29998779296875,535.4000244140625
5707700,938.5999755859375,555.29998779296875
5707800,937.29998779296875,558.79998779296875
5707900,938.5,554.20001220703125
5708000,923.29998779296875,552.4000244140625
5708100,923.4000244140625,566.5999755859375
5708200,923.0999755859375,549.5
5708300,924.5,544.29998779296875
5708400,930.0999755859375,555.79998779296875
5708500,926.20001220703125,543.0999755859375
5708600,931.20001220703125,550.5999755859375
5708700,934.20001220703125,566.29998779296875
5708800,926.0999755859375,571.5999755859375
5708900,923.20001220703125,571.9000244140625
5709000,915,579
5709100,914,576.9000244140625
5709200,913.20001220703125,564.4000244140625
5709300,908.79998779296875,561.9000244140625
5709400,909.20001220703125,566.79998779296875
5709500,924.4000244140625,556.70001220703125
5709600,920,550.29998779296875
5709700,919.0999755859375,555.70001220703125
5709800,913.0999755859375,551.0999755859375
5709900,905.79998779296875,556
5710200,892.5,508.8999938964844
5710300,894.70001220703125,281.6000061035156
5710400,918.0999755859375,548.5
5710500,927.29998779296875,544.4000244140625
5710600,918.5,539.20001220703125
5710700,915.70001220703125,526.5999755859375
5710800,917.9000244140625,527.70001220703125
5710900,911.70001220703125,531.5999755859375
5711000,915.5999755859375,537.20001220703125
